name,games,win_percent,score_avg,goal_avg,assist_avg,save_avg,shot_avg,shot_percent,goal_participation_percent,overall_rating_avg

2Die4,80,67.50%,491.24,1.35,0.85,1.75,3.40,39.71%,73.64%,1.418

ReaLize,111,75.68%,446.88,1.21,0.85,1.23,3.45,34.99%,72.15%,1.314

trk511,107,81.31%,444.15,1.14,0.77,1.61,3.82,29.83%,61.82%,1.290

Darth.,79,83.54%,414.86,1.25,0.76,1.06,3.90,32.14%,59.77%,1.277

Hawk,189,58.73%,455.52,1.24,0.56,1.55,3.89,31.79%,72.65%,1.276

Snowyy,92,81.52%,439.33,1.08,0.93,1.38,3.32,32.46%,59.11%,1.273

Gon,57,63.16%,419.42,1.09,0.93,1.09,3.19,34.07%,72.33%,1.255

oKhaliD,87,86.21%,440.78,1.01,0.80,1.63,3.05,33.21%,55.05%,1.254

YoPeGo,75,48.00%,437.91,1.21,0.52,1.49,3.23,37.60%,67.36%,1.251

EliakimZA,56,55.36%,468.66,0.89,0.71,2.16,3.05,29.24%,66.18%,1.232

LCT,133,72.93%,403.21,1.17,0.67,1.08,3.44,34.06%,64.99%,1.223

Olympic.,71,52.11%,449.34,1.04,0.59,1.92,3.04,34.26%,71.60%,1.222

Gambit,66,66.67%,285.38,1.23,0.82,1.20,3.58,34.32%,63.08%,1.222

Archie,468,56.20%,474.08,0.84,0.67,2.21,3.52,23.83%,71.60%,1.217

T7LM,51,58.82%,446.08,0.98,0.61,1.57,4.29,22.83%,72.32%,1.216

Maxeew,111,79.28%,418.31,0.95,0.93,1.20,3.25,29.36%,63.72%,1.215

Nemoto,90,64.44%,423.47,1.02,0.80,1.41,3.17,32.28%,64.82%,1.211

popo,90,64.44%,420.20,0.97,0.92,1.20,3.24,29.79%,67.19%,1.210

Night.,80,56.25%,441.41,1.02,0.50,1.96,3.44,29.82%,63.21%,1.187

Seikoo,135,57.78%,439.76,0.96,0.53,1.84,3.64,26.22%,72.99%,1.186

Smw.,77,64.94%,429.47,0.96,0.65,1.70,3.52,27.31%,62.31%,1.178

EclaiL,58,37.93%,415.67,1.14,0.48,1.29,3.72,30.56%,78.33%,1.178

Firstkiller,547,55.39%,460.23,0.85,0.58,2.02,3.37,25.20%,68.81%,1.171

caard,876,66.44%,429.33,0.94,0.63,1.63,3.38,27.96%,63.16%,1.170

M7sN,94,56.38%,431.91,0.85,0.66,1.98,3.37,25.24%,65.44%,1.167

Siki,601,59.57%,407.61,0.98,0.69,1.48,3.52,27.85%,64.57%,1.166

Ronaky,438,51.60%,422.09,0.99,0.52,1.68,3.53,28.11%,70.44%,1.164

Ahmad,107,81.31%,386.64,0.99,0.82,1.05,3.30,30.03%,58.79%,1.158

kamz,80,67.50%,406.18,0.88,0.85,1.49,3.13,28.00%,57.74%,1.156

math,371,58.76%,430.83,0.95,0.59,1.58,3.62,26.14%,67.81%,1.151

justin.,869,65.13%,432.34,0.85,0.61,1.90,3.42,24.77%,65.58%,1.149

Burn,84,61.90%,408.65,1.11,0.52,1.13,3.80,29.15%,66.18%,1.148

M0nkey M00n,525,66.67%,451.40,0.77,0.65,2.05,3.40,22.51%,65.67%,1.148

Krilin,65,53.85%,422.74,1.00,0.52,1.77,3.22,31.10%,65.13%,1.145

CAiOTG1,891,66.22%,408.73,0.93,0.68,1.44,3.32,28.10%,64.27%,1.144

CJCJ,741,64.78%,382.85,0.98,0.71,1.24,3.47,28.23%,64.18%,1.139

Cypso,76,52.63%,422.28,0.88,0.63,1.89,2.75,32.06%,65.71%,1.138

Amphis,592,68.24%,402.78,0.93,0.70,1.35,3.11,29.72%,61.94%,1.137

SkillSteal,92,81.52%,366.90,1.14,0.68,0.84,3.58,31.91%,53.67%,1.137

Twiz,77,64.94%,406.69,0.97,0.64,1.39,3.10,31.38%,62.31%,1.136

Rushil_Y,75,53.33%,382.76,1.09,0.60,1.08,3.32,32.93%,65.80%,1.135

DarkFire,97,54.64%,253.92,1.01,0.71,1.29,2.63,38.43%,68.44%,1.131

Drippay,679,61.86%,369.79,0.96,0.63,1.41,3.33,28.82%,64.65%,1.129

Talal.,76,46.05%,401.79,1.04,0.49,1.38,3.57,29.15%,66.29%,1.128

M3L0DY,80,56.25%,405.91,0.86,0.76,1.48,3.14,27.49%,66.67%,1.128

Werty,93,60.22%,384.17,0.96,0.71,1.41,2.88,33.21%,62.25%,1.128

Mr.Low,62,43.55%,408.15,0.81,0.56,1.84,2.97,27.17%,65.89%,1.127

SchalkG,93,60.22%,385.23,0.89,0.71,1.38,2.88,30.97%,59.84%,1.121

Suspect,73,50.68%,410.00,0.82,0.66,1.88,3.04,27.03%,67.92%,1.117

Kaotik,73,61.64%,411.07,1.08,0.40,1.51,3.48,31.10%,62.43%,1.107

Torsos,903,68.33%,376.87,0.90,0.67,1.36,2.93,30.67%,61.19%,1.103

Rxii,54,46.30%,417.44,0.76,0.52,2.19,2.63,28.87%,61.61%,1.102

Ficeo,63,60.32%,404.44,0.73,0.81,1.76,2.70,27.06%,58.43%,1.101

nxghtt,95,63.16%,385.55,0.89,0.61,1.45,3.19,28.05%,60.85%,1.098

JKnaps,804,59.33%,379.84,0.82,0.66,1.45,3.46,23.65%,68.00%,1.097

AtomiK,453,52.98%,419.21,0.83,0.49,1.85,3.50,23.67%,65.14%,1.095

Alpha54,627,57.58%,433.15,0.73,0.56,1.99,3.33,21.81%,64.32%,1.094

M1k3Rules,104,70.19%,247.79,0.91,0.88,1.16,2.95,30.94%,58.31%,1.093

Lunatic,64,45.31%,409.55,0.73,0.83,1.44,2.73,26.86%,69.44%,1.093

cavemanben,500,58.40%,385.29,0.89,0.65,1.33,3.20,27.92%,61.65%,1.093

Meloshisu,125,51.20%,399.90,0.82,0.54,1.83,3.16,25.82%,61.01%,1.092

Fever,555,64.32%,397.03,0.84,0.67,1.41,3.11,27.15%,59.04%,1.092

tonio,53,41.51%,366.60,0.94,0.57,1.30,2.72,34.72%,68.38%,1.089

Chicago,688,59.01%,389.01,0.85,0.59,1.39,3.50,24.35%,67.46%,1.088

Firas,73,50.68%,394.34,0.77,0.64,1.78,2.90,26.42%,64.78%,1.087

rehzzy,74,48.65%,428.35,0.88,0.42,1.85,3.05,28.76%,65.31%,1.086

ballerrees,108,78.70%,371.98,0.74,0.89,1.30,2.54,29.20%,55.87%,1.086

JarelNaden,80,50.00%,380.39,0.88,0.61,1.39,2.70,32.41%,66.48%,1.084

Squigly,95,54.74%,378.32,0.84,0.62,1.47,2.40,35.09%,61.23%,1.083

drufinho,414,56.52%,397.09,0.85,0.54,1.60,3.07,27.74%,64.86%,1.081

String,154,44.16%,397.95,0.78,0.60,1.69,2.68,29.06%,64.55%,1.076

BJayB,94,50.00%,383.81,0.76,0.66,1.62,2.91,25.91%,64.88%,1.075

