name,games,win_percent,score_avg,goal_avg,assist_avg,save_avg,shot_avg,shot_percent,goal_participation_percent,overall_rating_avg
Chausette45,867,51.44%,348.21,0.60,0.48,1.84,2.66,22.45%,56.86%,0.942

Flakes,140,47.86%,381.69,0.62,0.41,1.96,2.40,25.89%,60.50%,0.940

creamyy,66,45.45%,356.00,0.61,0.56,1.50,2.82,21.51%,59.23%,0.940

TaTu,108,29.63%,356.81,0.57,0.48,1.75,2.46,23.31%,62.64%,0.940

shadey,225,56.89%,285.74,0.72,0.52,1.34,2.57,28.20%,56.77%,0.940

virtuoso,347,48.99%,351.84,0.68,0.49,1.37,2.67,25.59%,59.10%,0.939

FirefoxD,670,53.43%,351.59,0.70,0.49,1.26,2.98,23.41%,57.45%,0.939

tander,888,64.30%,340.74,0.61,0.60,1.42,2.60,23.62%,50.42%,0.938

Growlii,80,42.50%,360.85,0.59,0.59,1.50,2.69,21.86%,61.44%,0.938

Mijo,95,45.26%,252.00,0.68,0.52,1.62,2.39,28.63%,61.62%,0.938

Vis,73,43.84%,355.45,0.63,0.55,1.55,2.29,27.54%,55.13%,0.937

NoMansion,58,46.55%,344.41,0.74,0.36,1.41,2.64,28.10%,58.18%,0.937

Outlast,127,33.86%,346.10,0.57,0.52,1.72,2.50,23.03%,64.35%,0.937

Royales,459,42.70%,349.52,0.69,0.44,1.41,2.54,27.41%,60.12%,0.937

.ZPS,326,49.08%,363.58,0.70,0.39,1.70,2.79,24.97%,58.71%,0.937

Shoe,119,40.34%,364.39,0.63,0.51,1.54,2.76,22.80%,59.39%,0.936

fearlesscarrot,89,46.07%,337.94,0.79,0.43,1.37,2.55,30.84%,52.68%,0.936

tcorrell.,360,49.72%,391.30,0.54,0.47,2.07,2.55,21.35%,56.07%,0.936

mock,298,50.67%,354.84,0.67,0.48,1.50,2.46,27.15%,58.63%,0.935

Rix_Ronday,230,44.78%,358.12,0.60,0.50,1.73,2.46,24.42%,57.40%,0.935

amatel,76,46.05%,362.49,0.61,0.54,1.62,2.30,26.29%,56.86%,0.935

rey,72,61.11%,324.69,0.65,0.72,1.08,2.38,27.49%,57.23%,0.934

Kassio,619,54.60%,344.49,0.66,0.48,1.46,2.66,24.82%,56.19%,0.934

Jordan,354,51.98%,359.53,0.63,0.48,1.66,2.73,23.14%,53.54%,0.934

ELMP,94,48.94%,223.83,0.71,0.59,1.37,2.79,25.57%,59.80%,0.934

yanD,462,42.42%,367.13,0.64,0.47,1.66,2.57,25.00%,59.08%,0.934

dreaz,247,61.94%,354.10,0.55,0.60,1.52,2.70,20.36%,54.20%,0.934

Tox,418,53.59%,380.99,0.56,0.51,1.77,2.60,21.66%,57.73%,0.933

li0n,62,43.55%,314.52,0.60,0.60,1.27,2.39,25.00%,57.36%,0.933

ivn,158,51.27%,367.04,0.56,0.49,1.72,2.88,19.56%,59.50%,0.933

Samuel,119,40.34%,336.22,0.62,0.51,1.29,2.61,23.87%,58.95%,0.933

Scrub Killa,574,56.27%,374.07,0.53,0.49,1.97,2.42,22.07%,52.22%,0.932

AryaNeil,80,50.00%,354.52,0.71,0.54,1.21,2.79,25.56%,55.87%,0.932

Oscillon,316,50.32%,360.27,0.58,0.51,1.65,2.72,21.45%,57.53%,0.931

Spyder,172,41.28%,357.93,0.69,0.40,1.50,2.98,23.20%,61.24%,0.931

